DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
279.0980E-6	-279.1822E-6	3.5830E-9	44.0000E+0	9.7191E-6	261.6150E-6		633.2609E-6	-634.1520E-6	3.4395E-9	44.0000E+0	19.9828E-6	600.9087E-6	
289.0614E-6	-289.1435E-6	3.7141E-9	45.0000E+0	9.9634E-6	273.4786E-6		653.5425E-6	-654.4368E-6	3.5301E-9	45.0000E+0	20.2815E-6	624.4532E-6	
298.7434E-6	-298.8265E-6	3.7493E-9	46.0000E+0	9.6819E-6	285.3422E-6		674.0885E-6	-674.9803E-6	3.6585E-9	46.0000E+0	20.5459E-6	647.9978E-6	
308.3996E-6	-308.4820E-6	3.7578E-9	47.0000E+0	9.6562E-6	297.2059E-6		694.6885E-6	-695.5845E-6	3.7622E-9	47.0000E+0	20.5999E-6	671.5424E-6	
318.8386E-6	-318.9218E-6	3.7830E-9	48.0000E+0	10.4389E-6	309.0695E-6		715.7319E-6	-716.6186E-6	3.8708E-9	48.0000E+0	21.0434E-6	695.0869E-6	
329.1158E-6	-329.1988E-6	3.8682E-9	49.0000E+0	10.2772E-6	320.9331E-6		736.8098E-6	-737.7026E-6	4.0172E-9	49.0000E+0	21.0778E-6	718.6315E-6	
339.8357E-6	-339.9191E-6	3.9652E-9	50.0000E+0	10.7199E-6	332.7967E-6		757.5682E-6	-758.4557E-6	4.0323E-9	50.0000E+0	20.7584E-6	742.1761E-6	
350.1486E-6	-350.2310E-6	4.0027E-9	51.0000E+0	10.3128E-6	344.6603E-6		777.6626E-6	-778.5466E-6	4.1207E-9	51.0000E+0	20.0943E-6	765.7206E-6	
361.3478E-6	-361.4300E-6	4.1784E-9	52.0000E+0	11.1992E-6	356.5239E-6		798.8348E-6	-799.7300E-6	4.2720E-9	52.0000E+0	21.1721E-6	789.2652E-6	
371.2670E-6	-371.3487E-6	4.3942E-9	53.0000E+0	9.9191E-6	368.3875E-6		819.7936E-6	-820.6844E-6	4.3090E-9	53.0000E+0	20.9587E-6	812.8097E-6	
382.1316E-6	-382.2136E-6	4.4715E-9	54.0000E+0	10.8646E-6	380.2511E-6		841.1004E-6	-841.9910E-6	4.3416E-9	54.0000E+0	21.3068E-6	836.3543E-6	
392.8773E-6	-392.9585E-6	4.5567E-9	55.0000E+0	10.7456E-6	392.1147E-6		862.3059E-6	-863.1916E-6	4.3752E-9	55.0000E+0	21.2055E-6	859.8989E-6	
392.1384E-6	-392.2214E-6	4.4905E-9	55.0000E+0	#REF	392.1147E-6		860.7856E-6	-861.6722E-6	4.3130E-9	55.0000E+0	#REF	859.8989E-6	
380.2511E-6	-380.3323E-6	4.2353E-9	54.0000E+0	11.8873E-6	380.2511E-6		836.9884E-6	-837.8738E-6	4.0144E-9	54.0000E+0	23.7972E-6	836.3543E-6	
368.4112E-6	-368.4931E-6	4.0612E-9	53.0000E+0	11.8399E-6	368.3875E-6		812.8097E-6	-813.6944E-6	4.0456E-9	53.0000E+0	24.1786E-6	812.8097E-6	
356.5956E-6	-356.6782E-6	3.8865E-9	52.0000E+0	11.8155E-6	356.5239E-6		789.8993E-6	-790.7776E-6	4.0010E-9	52.0000E+0	22.9104E-6	789.2652E-6	
344.9621E-6	-345.0431E-6	3.7265E-9	51.0000E+0	11.6335E-6	344.6603E-6		766.6506E-6	-767.5267E-6	3.9052E-9	51.0000E+0	23.2486E-6	765.7206E-6	
333.1270E-6	-333.2079E-6	3.6700E-9	50.0000E+0	11.8350E-6	332.7967E-6		743.6613E-6	-744.5326E-6	3.7378E-9	50.0000E+0	22.9892E-6	742.1761E-6	
322.0093E-6	-322.0911E-6	3.6151E-9	49.0000E+0	11.1177E-6	320.9331E-6		720.6292E-6	-721.5093E-6	3.7490E-9	49.0000E+0	23.0321E-6	718.6315E-6	
311.0628E-6	-311.1433E-6	3.5254E-9	48.0000E+0	10.9464E-6	309.0695E-6		697.5001E-6	-698.3801E-6	3.5381E-9	48.0000E+0	23.1291E-6	695.0869E-6	
300.2775E-6	-300.3587E-6	3.5400E-9	47.0000E+0	10.7853E-6	297.2059E-6		675.0760E-6	-675.9659E-6	3.4224E-9	47.0000E+0	22.4240E-6	671.5424E-6	
289.5859E-6	-289.6689E-6	3.4369E-9	46.0000E+0	10.6915E-6	285.3422E-6		652.7407E-6	-653.6268E-6	3.2839E-9	46.0000E+0	22.3353E-6	647.9978E-6	
278.8790E-6	-278.9614E-6	3.2558E-9	45.0000E+0	10.7069E-6	273.4786E-6		631.1623E-6	-632.0432E-6	3.1810E-9	45.0000E+0	21.5784E-6	624.4532E-6	
268.1167E-6	-268.2003E-6	3.2137E-9	44.0000E+0	10.7623E-6	261.6150E-6		608.4960E-6	-609.3650E-6	3.0118E-9	44.0000E+0	22.6663E-6	600.9087E-6	
257.9798E-6	-258.0625E-6	3.0619E-9	43.0000E+0	10.1369E-6	249.7514E-6		587.1466E-6	-588.0276E-6	2.9636E-9	43.0000E+0	21.3493E-6	577.3641E-6	
247.9625E-6	-248.0450E-6	2.9210E-9	42.0000E+0	10.0172E-6	237.8878E-6		565.3866E-6	-566.2679E-6	2.9957E-9	42.0000E+0	21.7600E-6	553.8196E-6	
238.0746E-6	-238.1567E-6	2.7428E-9	41.0000E+0	9.8879E-6	226.0242E-6		544.4717E-6	-545.3615E-6	2.9559E-9	41.0000E+0	20.9148E-6	530.2750E-6	
228.4096E-6	-228.4935E-6	2.7764E-9	40.0000E+0	9.6650E-6	214.1606E-6		523.1482E-6	-524.0372E-6	2.8025E-9	40.0000E+0	21.3235E-6	506.7304E-6	
219.0175E-6	-219.1004E-6	2.6404E-9	39.0000E+0	9.3920E-6	202.2970E-6		502.7546E-6	-503.6416E-6	2.7248E-9	39.0000E+0	20.3935E-6	483.1859E-6	
209.6744E-6	-209.7572E-6	2.6499E-9	38.0000E+0	9.3431E-6	190.4334E-6		482.2056E-6	-483.0974E-6	2.6090E-9	38.0000E+0	20.5489E-6	459.6413E-6	
200.6805E-6	-200.7647E-6	2.5560E-9	37.0000E+0	8.9938E-6	178.5698E-6		462.8293E-6	-463.7154E-6	2.4657E-9	37.0000E+0	19.3763E-6	436.0967E-6	
191.8355E-6	-191.9187E-6	2.5101E-9	36.0000E+0	8.8449E-6	166.7062E-6		443.3379E-6	-444.2185E-6	2.3522E-9	36.0000E+0	19.4913E-6	412.5522E-6	
182.8834E-6	-182.9682E-6	2.3902E-9	35.0000E+0	8.9520E-6	154.8425E-6		423.3091E-6	-424.1976E-6	2.2592E-9	35.0000E+0	20.0287E-6	389.0076E-6	
174.3935E-6	-174.4775E-6	2.2960E-9	34.0000E+0	8.4899E-6	142.9789E-6		404.3552E-6	-405.2355E-6	2.2195E-9	34.0000E+0	18.9539E-6	365.4631E-6	
166.3071E-6	-166.3904E-6	2.1880E-9	33.0000E+0	8.0863E-6	131.1153E-6		386.4747E-6	-386.5598E-6	2.1701E-9	33.0000E+0	17.8804E-6	341.9185E-6	
158.0538E-6	-158.1386E-6	2.0064E-9	32.0000E+0	8.2532E-6	119.2517E-6		367.8994E-6	-367.9862E-6	2.0763E-9	32.0000E+0	18.5752E-6	318.3739E-6	
150.2197E-6	-150.3051E-6	1.8882E-9	31.0000E+0	7.8340E-6	107.3881E-6		349.5945E-6	-349.6803E-6	2.0736E-9	31.0000E+0	18.3049E-6	294.8294E-6	
142.4547E-6	-142.5403E-6	1.8678E-9	30.0000E+0	7.7650E-6	95.5245E-6		332.2125E-6	-332.2999E-6	1.9589E-9	30.0000E+0	17.3820E-6	271.2848E-6	
135.1739E-6	-135.2599E-6	1.8275E-9	29.0000E+0	7.2808E-6	83.6609E-6		315.4609E-6	-315.5470E-6	1.8621E-9	29.0000E+0	16.7515E-6	247.7402E-6	
127.8258E-6	-127.9114E-6	1.7723E-9	28.0000E+0	7.3481E-6	71.7972E-6		298.5659E-6	-298.6520E-6	1.7602E-9	28.0000E+0	16.8950E-6	224.1957E-6	
120.7324E-6	-120.8186E-6	1.6910E-9	27.0000E+0	7.0934E-6	59.9336E-6		282.8479E-6	-282.9345E-6	1.6700E-9	27.0000E+0	15.7179E-6	200.6511E-6	
113.8911E-6	-113.9782E-6	1.6231E-9	26.0000E+0	6.8412E-6	48.0700E-6		266.6902E-6	-266.7766E-6	1.5628E-9	26.0000E+0	16.1577E-6	177.1066E-6	
107.2092E-6	-107.2956E-6	1.5194E-9	25.0000E+0	6.6819E-6	36.2064E-6		251.1607E-6	-251.2476E-6	1.4501E-9	25.0000E+0	15.5294E-6	153.5620E-6	
100.8357E-6	-100.9218E-6	1.4397E-9	24.0000E+0	6.3735E-6	24.3428E-6		236.5449E-6	-236.6321E-6	1.3661E-9	24.0000E+0	14.6158E-6	130.0174E-6	
94.5514E-6	-94.6380E-6	1.2947E-9	23.0000E+0	6.2842E-6	12.4792E-6		221.7190E-6	-221.8071E-6	1.3474E-9	23.0000E+0	14.8259E-6	106.4729E-6	
88.6975E-6	-88.7848E-6	1.2065E-9	22.0000E+0	5.8538E-6	615.6333E-9		207.8683E-6	-207.9561E-6	1.2749E-9	22.0000E+0	13.8506E-6	82.9283E-6	
82.8920E-6	-82.9800E-6	1.1533E-9	21.0000E+0	5.8054E-6	-11.2479E-6		194.3590E-6	-194.4476E-6	1.2042E-9	21.0000E+0	13.5092E-6	59.3837E-6	
77.4287E-6	-77.5161E-6	1.0918E-9	20.0000E+0	5.4632E-6	-23.1115E-6		181.5266E-6	-181.6149E-6	1.1194E-9	20.0000E+0	12.8324E-6	35.8391E-6	
72.0372E-6	-72.1250E-6	1.0357E-9	19.0000E+0	5.3915E-6	-34.9751E-6		168.6462E-6	-168.7343E-6	1.0457E-9	19.0000E+0	12.8804E-6	12.2946E-6	
66.9685E-6	-67.0569E-6	989.5424E-12	18.0000E+0	5.0687E-6	-46.8388E-6		156.5837E-6	-156.6730E-6	921.3190E-12	18.0000E+0	12.0624E-6	-11.2499E-6	
