DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
79.9207E-6	-80.0136E-6	1.5529E-9	27.0000E+0	3.3765E-6	61.4756E-6		158.8910E-6	-158.9859E-6	1.5837E-9	27.0000E+0	7.0677E-6	125.0331E-6	
76.4343E-6	-76.5283E-6	1.5158E-9	26.0000E+0	3.4863E-6	56.6553E-6		151.9511E-6	-152.0473E-6	1.5819E-9	26.0000E+0	6.9398E-6	115.4616E-6	
73.0281E-6	-73.1212E-6	1.5070E-9	25.0000E+0	3.4062E-6	51.8349E-6		145.2170E-6	-145.3122E-6	1.5028E-9	25.0000E+0	6.7340E-6	105.8900E-6	
69.6720E-6	-69.7656E-6	1.4433E-9	24.0000E+0	3.3560E-6	47.0146E-6		138.4271E-6	-138.5222E-6	1.4639E-9	24.0000E+0	6.7898E-6	96.3184E-6	
66.4275E-6	-66.5207E-6	1.3497E-9	23.0000E+0	3.2444E-6	42.1943E-6		131.8483E-6	-131.9438E-6	1.3515E-9	23.0000E+0	6.5787E-6	86.7469E-6	
63.1691E-6	-63.2632E-6	1.2807E-9	22.0000E+0	3.2584E-6	37.3739E-6		125.3371E-6	-125.4331E-6	1.2572E-9	22.0000E+0	6.5112E-6	77.1753E-6	
60.0123E-6	-60.1053E-6	1.1926E-9	21.0000E+0	3.1568E-6	32.5536E-6		119.0534E-6	-119.1500E-6	1.1634E-9	21.0000E+0	6.2836E-6	67.6038E-6	
56.9306E-6	-57.0242E-6	1.0809E-9	20.0000E+0	3.0816E-6	27.7332E-6		112.8228E-6	-112.9197E-6	1.0283E-9	20.0000E+0	6.2306E-6	58.0322E-6	
53.9747E-6	-54.0686E-6	978.9299E-12	19.0000E+0	2.9558E-6	22.9129E-6		106.6855E-6	-106.7826E-6	938.0968E-12	19.0000E+0	6.1372E-6	48.4607E-6	
51.0334E-6	-51.1282E-6	883.4675E-12	18.0000E+0	2.9412E-6	18.0925E-6		100.7733E-6	-100.8708E-6	870.0250E-12	18.0000E+0	5.9122E-6	38.8891E-6	
48.0876E-6	-48.1826E-6	835.7616E-12	17.0000E+0	2.9457E-6	13.2722E-6		95.0228E-6	-95.1201E-6	811.6054E-12	17.0000E+0	5.7504E-6	29.3176E-6	
